x               sin(x/2)                sin'(x/2)               sin'(x/2)               sin''(x/2)              sin''(x/2)
      0.00            0.00            1.00            1.00           -0.01            0.00
      0.01            0.00            1.00            1.00           -0.02           -0.00
      0.02            0.01            1.00            1.00           -0.02           -0.01
      0.03            0.01            1.00            1.00           -0.02           -0.02
      0.04            0.02            1.00            1.00           -0.03           -0.02
      0.05            0.02            1.00            1.00           -0.03           -0.03
      0.06            0.03            1.00            1.00           -0.04           -0.03
      0.07            0.03            1.00            1.00           -0.04           -0.04
      0.08            0.04            1.00            1.00           -0.05           -0.04
      0.09            0.04            1.00            1.00           -0.05           -0.04
      0.10            0.05            1.00            1.00           -0.06           -0.05
      0.11            0.05            1.00            1.00           -0.06           -0.05
      0.12            0.06            1.00            1.00           -0.07           -0.06
      0.13            0.06            1.00            1.00           -0.07           -0.06
      0.14            0.07            1.00            1.00           -0.08           -0.07
      0.15            0.07            1.00            1.00           -0.08           -0.07
      0.16            0.08            1.00            1.00           -0.09           -0.08
      0.17            0.08            1.00            1.00           -0.09           -0.08
      0.18            0.09            1.00            1.00           -0.10           -0.09
      0.19            0.09            0.99            1.00           -0.10           -0.09
      0.20            0.10            0.99            1.00           -0.11           -0.10
      0.21            0.10            0.99            0.99           -0.11           -0.10
      0.22            0.11            0.99            0.99           -0.12           -0.11
      0.23            0.11            0.99            0.99           -0.12           -0.11
      0.24            0.12            0.99            0.99           -0.13           -0.12
      0.25            0.12            0.99            0.99           -0.13           -0.12
      0.26            0.13            0.99            0.99           -0.14           -0.13
      0.27            0.13            0.99            0.99           -0.14           -0.13
      0.28            0.14            0.99            0.99           -0.15           -0.14
      0.29            0.14            0.99            0.99           -0.15           -0.14
      0.30            0.15            0.99            0.99           -0.16           -0.15
      0.31            0.15            0.99            0.99           -0.16           -0.15
      0.32            0.16            0.99            0.99           -0.17           -0.16
      0.33            0.16            0.99            0.99           -0.17           -0.16
      0.34            0.17            0.98            0.99           -0.18           -0.17
      0.35            0.17            0.98            0.98           -0.18           -0.17
      0.36            0.18            0.98            0.98           -0.19           -0.18
      0.37            0.18            0.98            0.98           -0.19           -0.18
      0.38            0.19            0.98            0.98           -0.20           -0.19
      0.39            0.19            0.98            0.98           -0.20           -0.19
      0.40            0.20            0.98            0.98           -0.21           -0.20
      0.41            0.20            0.98            0.98           -0.21           -0.20
      0.42            0.21            0.98            0.98           -0.22           -0.21
      0.43            0.21            0.98            0.98           -0.22           -0.21
      0.44            0.22            0.97            0.98           -0.23           -0.22
      0.45            0.22            0.97            0.97           -0.23           -0.22
      0.46            0.23            0.97            0.97           -0.24           -0.23
      0.47            0.23            0.97            0.97           -0.24           -0.23
      0.48            0.24            0.97            0.97           -0.25           -0.24
      0.49            0.24            0.97            0.97           -0.25           -0.24
      0.50            0.25            0.97            0.97           -0.26           -0.25
      0.51            0.25            0.97            0.97           -0.26           -0.25
      0.52            0.26            0.97            0.97           -0.27           -0.26
      0.53            0.26            0.96            0.97           -0.27           -0.26
      0.54            0.27            0.96            0.96           -0.28           -0.27
      0.55            0.27            0.96            0.96           -0.28           -0.27
      0.56            0.28            0.96            0.96           -0.29           -0.28
      0.57            0.28            0.96            0.96           -0.29           -0.28
      0.58            0.29            0.96            0.96           -0.30           -0.29
      0.59            0.29            0.96            0.96           -0.30           -0.29
